Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: E:\LANL\SF7.EXE
SF.INI file: E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\SF.INI  8-04-2020  11:52:20
Solution file E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\COAXTEST.T35.
Memory used for COAXTEST.T35 arrays:     146.068 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electric fields for a rectangular area with corners at:
(Rmin,Zmin) = (0.0,0.0)
(Rmax,Zmax) = (5,5)
R and Z increments:   100   100

      R             Z              Er            Ez            |E|           V 
    (cm)          (cm)           (V/cm)        (V/cm)        (V/cm)         (V)  
   2.80000      5.000000E-02  3.898173E+02 -2.996870E+00  3.898288E+02  6.428747E+02
   2.85000      5.000000E-02  3.859285E+02 -2.905743E+00  3.859395E+02  6.234822E+02
   2.90000      5.000000E-02  3.821048E+02 -2.751378E+00  3.821147E+02  6.042806E+02
   2.95000      5.000000E-02  3.782846E+02 -2.578997E+00  3.782934E+02  5.852731E+02
   3.00000      5.000000E-02  3.744440E+02 -2.365574E+00  3.744514E+02  5.664552E+02
   3.05000      5.000000E-02  3.705544E+02 -2.145770E+00  3.705606E+02  5.478289E+02
   3.10000      5.000000E-02  3.665896E+02 -1.901591E+00  3.665946E+02  5.294003E+02
   3.15000      5.000000E-02  3.625372E+02 -1.659180E+00  3.625410E+02  5.111744E+02
   3.20000      5.000000E-02  3.583919E+02 -1.405537E+00  3.583947E+02  4.931498E+02
   3.25000      5.000000E-02  3.541477E+02 -1.159834E+00  3.541496E+02  4.753376E+02
   3.30000      5.000000E-02  3.498049E+02 -9.119307E-01  3.498061E+02  4.577366E+02
   3.35000      5.000000E-02  3.453692E+02 -6.765415E-01  3.453699E+02  4.403564E+02
   3.40000      5.000000E-02  3.408395E+02 -4.448615E-01  3.408397E+02  4.231998E+02
   3.45000      5.000000E-02  3.362240E+02 -2.271856E-01  3.362241E+02  4.062743E+02
   3.50000      5.000000E-02  3.315318E+02 -1.754900E-02  3.315318E+02  3.895820E+02
   3.55000      5.000000E-02  3.267745E+02  1.778298E-01  3.267746E+02  3.731235E+02
   3.60000      5.000000E-02  3.219586E+02  3.620275E-01  3.219588E+02  3.569050E+02
   3.65000      5.000000E-02  3.170971E+02  5.311200E-01  3.170976E+02  3.409290E+02
   3.70000      5.000000E-02  3.121982E+02  6.892818E-01  3.121989E+02  3.251959E+02
   3.75000      5.000000E-02  3.072665E+02  8.352992E-01  3.072676E+02  3.097094E+02
   3.80000      5.000000E-02  3.023207E+02  9.684712E-01  3.023223E+02  2.944695E+02
   3.85000      5.000000E-02  2.973603E+02  1.090813E+00  2.973623E+02  2.794777E+02
   3.90000      5.000000E-02  2.924028E+02  1.201337E+00  2.924053E+02  2.647336E+02
   3.95000      5.000000E-02  2.874477E+02  1.301900E+00  2.874507E+02  2.502376E+02
   4.00000      5.000000E-02  2.825101E+02  1.392017E+00  2.825136E+02  2.359887E+02
   4.05000      5.000000E-02  2.775899E+02  1.473127E+00  2.775938E+02  2.219865E+02
   4.10000      5.000000E-02  2.726993E+02  1.545309E+00  2.727037E+02  2.082293E+02
   4.15000      5.000000E-02  2.678371E+02  1.609286E+00  2.678420E+02  1.947163E+02
   4.20000      5.000000E-02  2.630173E+02  1.666080E+00  2.630226E+02  1.814449E+02
   4.25000      5.000000E-02  2.582360E+02  1.715584E+00  2.582417E+02  1.684137E+02
   4.30000      5.000000E-02  2.535020E+02  1.759093E+00  2.535081E+02  1.556204E+02
   4.35000      5.000000E-02  2.488153E+02  1.796383E+00  2.488218E+02  1.430627E+02
   4.40000      5.000000E-02  2.441825E+02  1.828861E+00  2.441893E+02  1.307379E+02
   4.45000      5.000000E-02  2.396013E+02  1.856210E+00  2.396085E+02  1.186437E+02
   4.50000      5.000000E-02  2.350797E+02  1.879666E+00  2.350872E+02  1.067768E+02
   4.55000      5.000000E-02  2.306105E+02  1.899416E+00  2.306183E+02  9.513492E+01
   4.60000      5.000000E-02  2.262111E+02  1.916027E+00  2.262192E+02  8.371386E+01
   4.65000      5.000000E-02  2.218537E+02  1.929928E+00  2.218621E+02  7.251343E+01
   4.70000      5.000000E-02  2.175878E+02  1.935124E+00  2.175964E+02  6.152594E+01
   4.75000      5.000000E-02  2.133683E+02  1.938321E+00  2.133771E+02  5.075237E+01
   4.80000      5.000000E-02  2.092045E+02  1.944875E+00  2.092135E+02  4.018975E+01
   4.85000      5.000000E-02  2.051088E+02  1.948749E+00  2.051180E+02  2.983198E+01
   4.90000      5.000000E-02  2.010976E+02  1.942408E+00  2.011070E+02  1.967639E+01
   4.95000      5.000000E-02  1.971357E+02  1.937317E+00  1.971453E+02  9.719503E+00
   5.00000      5.000000E-02  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   0.00000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  5.000000E-02  0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.100000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.150000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.200000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.250000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.300000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.350000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.400000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.450000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.500000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.550000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.600000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.650000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.700000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.750000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.800000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.850000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.900000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  0.950000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.00000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.05000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.10000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   1.15000      0.100000      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
